,text,mood,selected_text,sentiment
4136,ive been feelin cranky about my blog im feeling its still a bit childish for me already i dont know if its the blog itself the address or something else,anger,ive feelin cranky blog im feeling still bit childish already dont know blog address something else,1
4137,im getting things done that i really need to and i feel good about it,joy,im getting thing done really need feel good,0
4138,i came up with the following i m drawing a blank as to what this is called to help me when i am feeling fearful or attacked,fear,came following drawing blank called help feeling fearful attacked,1
4139,i have been feeling agitated about lately,anger,feeling agitated lately,1
4140,i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc,fear,want find essence substance feel scared empty dispersed fragmented etc,1
4141,i sing as one who feels contented with a comfortable life and comfortable christmas that includes general happiness about eternity,joy,sing one feel contented comfortable life comfortable christmas includes general happiness eternity,0
4142,i wasnt feeling like going on easter holidays i dont even know why at least i hope these days can be very productive for me,joy,wasnt feeling like going easter holiday dont even know least hope day productive,0
4143,i am feeling more creative now and am able to think outside the box a bit and am going to attempt a more adventurous eating plan this week,joy,feeling creative able think outside box bit going attempt adventurous eating plan week,0
4144,i feel rediculous and petty and yet justified,anger,feel rediculous petty yet justified,1
4145,i have found both in my own life and from coaching hundreds of people during the past years that one of the main things that makes it hard for us to make good decisions is our feelings especially the unpleasant ones such as sadness rejection fear etc,sadness,found life coaching hundred people past year one main thing make hard u make good decision feeling especially unpleasant one sadness rejection fear etc,1
4146,i feel so empty idk i came home early from school,sadness,feel empty idk came home early school,1
4147,i feel weepy already,sadness,feel weepy already,1
4148,i feel intimidated to go there again at that time for fear it will happen again,fear,feel intimidated go time fear happen,1
4149,i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,joy,thinking negatively thing often feeling benign actually excited anticipation,0
4150,earth crake,fear,earth crake,1
4151,i am feeling brave we will go somewhere further afield like a walk in the woodlands around a farm to the beach or some other full day activity,joy,feeling brave go somewhere afield like walk woodland around farm beach full day activity,0
4152,i feel even more regretful that i didnt get to go to her senior presentation,sadness,feel even regretful didnt get go senior presentation,1
4153,i feel invigorated as i am one,joy,feel invigorated one,0
4154,i was definitely feeling nostalgic and was a bit sad when one of my favorite exhibitions the hall of ocean life was closed,love,definitely feeling nostalgic bit sad one favorite exhibition hall ocean life closed,0
4155,i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,joy,feeling brave lucky kind like heart breaking im falling love time,0
4156,i came away filled with admiration inspired by amy s friends feeling honoured to have been there to share a tiny part of their lives,joy,came away filled admiration inspired amy friend feeling honoured share tiny part life,0
4157,i write and share my feelings family events useful products good food exciting trips kitchen endeavors as well as occasional musings,joy,write share feeling family event useful product good food exciting trip kitchen endeavor well occasional musing,0
4158,i have a feeling she is going to be an amazing artist like her daddy and uncles,joy,feeling going amazing artist like daddy uncle,0
4159,i feel wonderful monroe said upon the launch of her company im incorporated,joy,feel wonderful monroe said upon launch company im incorporated,0
4160,i feel like he is not so keen on the idea,joy,feel like keen idea,0
4161,i become more comfortable in this remodeled office i am feeling much gratitude for its wonderful amenities,joy,become comfortable remodeled office feeling much gratitude wonderful amenity,0
4162,ill explain below two simple techniques you can use to almost instantly feel relief from that aching pain,sadness,ill explain two simple technique use almost instantly feel relief aching pain,1
4163,i feel there are some who still wants us together and i im being rebellious,anger,feel still want u together im rebellious,1
4164,i remember feeling humiliated because of the people in the front seat of the car,sadness,remember feeling humiliated people front seat car,1
4165,i hope someday when i am again in a position to give that i will remember how it feels and be sympathetic and sensitive to others,love,hope someday position give remember feel sympathetic sensitive others,0
4166,i have for myself even when i m feeling crappy,sadness,even feeling crappy,1
4167,im having trouble coming with words to describe the way i feel im so devoted to it,love,im trouble coming word describe way feel im devoted,0
4168,i have wonderful family who are constantly on the lookout for me make phone calls for me do pr for me but i feel helpless and folks i am a doer so i always feel like if i cant help myself then,sadness,wonderful family constantly lookout make phone call pr feel helpless folk doer always feel like cant help,1
4169,i dont feel as carefree as i used to and this worrys me a tad,joy,dont feel carefree used worry tad,0
4170,im getting ready and feeling stressed in general all take a toll on my milk supply and im not producing as much,sadness,im getting ready feeling stressed general take toll milk supply im producing much,1
4171,i do enjoy large bold prints and i suppose its odd im feeling timid about leopard,fear,enjoy large bold print suppose odd im feeling timid leopard,1
4172,i feel the corners of my mouth curl into a triumphant grin,joy,feel corner mouth curl triumphant grin,0
4173,i dont hallucinate instead i slowly continue along my little path until i feel needlessly violent and overly happy about it,anger,dont hallucinate instead slowly continue along little path feel needlessly violent overly happy,1
4174,i feel free to create the definition of what i believe in rather than following a prescribed path,joy,feel free create definition believe rather following prescribed path,0
4175,i range has always been giving you feel reluctant to select your spray for anyone who are to select and exposed variants,fear,range always giving feel reluctant select spray anyone select exposed variant,1
4176,i didnt feel that way with this we got to be with everyone on the dangerous path to freedom,anger,didnt feel way got everyone dangerous path freedom,1
4177,i feel shamed and insulted,sadness,feel shamed insulted,1
4178,i was really feeling crappy even after my awesome week of workouts,sadness,really feeling crappy even awesome week workout,1
4179,i feel a little dull,sadness,feel little dull,1
4180,im feeling a bit weepy today,sadness,im feeling bit weepy today,1
4181,i checked out the lyrics i realized that this song was talking about getting high and dreaming it supposedly inspires creativity and makes you feel real good,joy,checked lyric realized song talking getting high dreaming supposedly inspires creativity make feel real good,0
4182,i feel determined to offer her all the possibilities that my parents gave me to explore and create my own path,joy,feel determined offer possibility parent gave explore create path,0
4183,i love running because i feel strong and powerful and totally in control,joy,love running feel strong powerful totally control,0
4184,i find interesting is how this supplement when used without going to the gym makes me feel liteheaded and listless and sick to the stomach but when i go to the gym and purpose to focus and pound it illicits the most incredible feeling of laser focused perserverence,sadness,find interesting supplement used without going gym make feel liteheaded listless sick stomach go gym purpose focus pound illicits incredible feeling laser focused perserverence,1
4185,i feel pretty fantastic,joy,feel pretty fantastic,0
4186,i go fishing i really feel so carefree can i fish everyday,joy,go fishing really feel carefree fish everyday,0
4187,i feel incredibly sarcastic right now,anger,feel incredibly sarcastic right,1
4188,i feel a little discouraged here,sadness,feel little discouraged,1
4189,i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,dunno feel completely happy real world taught struggle going thru nothing close struggle,0
4190,im seeing on facebook right now make me feel proud and excited for their parents and them but also sad that the babies and little squirts they once were are now gone forever,joy,im seeing facebook right make feel proud excited parent also sad baby little squirt gone forever,0
4191,i do sometimes feel like im in this strange in between world,fear,sometimes feel like im strange world,1
4192,i am writing feeling appalled,anger,writing feeling appalled,1
4193,i do have good days and bad days but the bad days are awful resulting in constant trips to the bathroom a lot of pain bloat and discomfort lots of blood and just feeling completely exhausted and rundown,sadness,good day bad day bad day awful resulting constant trip bathroom lot pain bloat discomfort lot blood feeling completely exhausted rundown,1
4194,i feel so pained to see students on a school trip,sadness,feel pained see student school trip,1
4195,i feel defeated and low,sadness,feel defeated low,1
4196,im so tired i feel weepy,sadness,im tired feel weepy,1
4197,i duno i feel as if im doomed for ther rest of mi life,sadness,duno feel im doomed ther rest mi life,1
4198,i feel like im being taken advantage of and on top of that i am really bothered by my boyfriends sloppy behaviors,anger,feel like im taken advantage top really bothered boyfriend sloppy behavior,1
4199,i feel that learning more about animals and the amazing things they can do just points to a wondrous creator,joy,feel learning animal amazing thing point wondrous creator,0
4200,i can spill my feelings to and tell every pathetic detail of my life,sadness,spill feeling tell every pathetic detail life,1
4201,i can feel them cool but seldom empty pale with,joy,feel cool seldom empty pale,0
4202,i refuse to feel guilty,sadness,refuse feel guilty,1
4203,i am feeling a little sorry for myself and worse for him,sadness,feeling little sorry worse,1
4204,i was an outsider and i never felt part as i was new that made me feel disheartened,sadness,outsider never felt part new made feel disheartened,1
4205,i lost a very dear friend in the maschke family who now wants nothing to do with me because they feel that i am unsavory or mean or cruel,sadness,lost dear friend maschke family want nothing feel unsavory mean cruel,1
4206,i feel fine read the rest,joy,feel fine read rest,0
4207,i do not feel that i could ever harm an innocent girl in such a way never have i imagined such dire consequences for not doing so,joy,feel could ever harm innocent girl way never imagined dire consequence,0
4208,i can t take medication because its triggering i have to be really at the point of i can t stand what i m feeling anymore just so i can get past that barrier but medicine has me afraid of vomiting,fear,take medication triggering really point stand feeling anymore get past barrier medicine afraid vomiting,1
4209,for the loss of a close friend or relative,sadness,loss close friend relative,1
4210,i am true to what i feel and have come to understand that i am not being faithful to the girl but rather to myself,love,true feel come understand faithful girl rather,0
4211,i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger,know almost feeling angry within something tangible pragmatic help sister,1
4212,i just remember spending hours trying to bump my score above the mark and feeling frustrated by the questions they were a mixture of professor generated and usmleasy ones,anger,remember spending hour trying bump score mark feeling frustrated question mixture professor generated usmleasy one,1
4213,ive been feeling really energetic at night and honestly i needed this,joy,ive feeling really energetic night honestly needed,0
4214,i seem to see the five years after the chinese pavilion which is the content of the exhibition on immigration but to see the plateau province in this country is treated as one country so i feel very unhappy and i think this is a national tourist attraction they point then why not prudent,sadness,seem see five year chinese pavilion content exhibition immigration see plateau province country treated one country feel unhappy think national tourist attraction point prudent,1
4215,i feel horrible most of the time,sadness,feel horrible time,1
4216,ive gone for my k training or a swim then i feel energised and be productive like actually cleaning my room,joy,ive gone k training swim feel energised productive like actually cleaning room,0
4217,i feel irritated that he either interrupts my quiet time or wakes me up,anger,feel irritated either interrupt quiet time wake,1
4218,i feel like its about supporting something that you believe in,love,feel like supporting something believe,0
4219,i feel smart and i want to show it off,joy,feel smart want show,0
4220,i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear,feel quite nervous scared x scared co ill taking plane back singapore co cant stay long two friend planned,1
4221,i couldnt help but feel a little out of place in our casual attire,joy,couldnt help feel little place casual attire,0
4222,i simply can t help but feel dissatisfied after reading glancing through each,anger,simply help feel dissatisfied reading glancing,1
4223,i cant wait till the summer when we feel somewhat carefree once again,joy,cant wait till summer feel somewhat carefree,0
4224,i feel very passionate about this because of children reared within the evangelical church leave it before they are,joy,feel passionate child reared within evangelical church leave,0
4225,i thought of that feeling of delicious isolation i feel when i am absorbed in a quest each revelation leading to questions then answers then more questions a cave came to mind at first lined with ancient and wisdom filled tomes a deep comfortable chair and large paper strewn table in the centre,joy,thought feeling delicious isolation feel absorbed quest revelation leading question answer question cave came mind first lined ancient wisdom filled tome deep comfortable chair large paper strewn table centre,0
4226,i feel as defeated as i did today i wonder if im doing this parenting thing all wrong,sadness,feel defeated today wonder im parenting thing wrong,1
4227,i began to feel unimportant misunderstood the odd one out,sadness,began feel unimportant misunderstood odd one,1
4228,i feel listless and completely unmotivated to do anything but i will bake some almond poppy seed bread and make a pot of chicken noodle soup in an effort to be less than useless today,sadness,feel listless completely unmotivated anything bake almond poppy seed bread make pot chicken noodle soup effort le useless today,1
4229,i feared i would feel resentful of her or this process but i dont and i am so happy about that,anger,feared would feel resentful process dont happy,1
4230,i feel any artist that puts forth a piece of work even ones i do not agree with should be respected even if it s just for the sake of them overcoming the shackles of our society s norms,joy,feel artist put forth piece work even one agree respected even sake overcoming shackle society norm,0
4231,i even picked out beautiful pearly looking snaps and is soft and comfy feels like caring for myself,love,even picked beautiful pearly looking snap soft comfy feel like caring,0
4232,i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,joy,tend lose feel water pretty quickly im water every day felt race,0
4233,i feel calm with her,joy,feel calm,0
4234,i feel really pissed off justanswer,anger,feel really pissed justanswer,1
4235,i feel like it s a boy i would be pretty shocked if it was so somewhere in there my gut or my brain is saying girl,surprise,feel like boy would pretty shocked somewhere gut brain saying girl,0
4236,i guess a similar viewpoint might be when we feel smug or better than someone else,joy,guess similar viewpoint might feel smug better someone else,0
4237,ive been feeling so jaded,sadness,ive feeling jaded,1
4238,im actually feeling a little smug,joy,im actually feeling little smug,0
4239,id feel better later in the school year,joy,id feel better later school year,0
4240,i said feeling a little shaky as i stared at the ocean from which the goddess was rising not knowing why,fear,said feeling little shaky stared ocean goddess rising knowing,1
4241,i were saying that we were feeling overwhelmed with our life right now,surprise,saying feeling overwhelmed life right,0
4242,i am feeling very inadequate about how to share my feelings and of how to write this blog post but i am going to give it a go and hope that it makes sense,sadness,feeling inadequate share feeling write blog post going give go hope make sense,1
4243,i already feel sleep deprived and short on time but if i really want to become a person that i can be proud of i need to start investing and stop paying the minimum amount on my credit card,sadness,already feel sleep deprived short time really want become person proud need start investing stop paying minimum amount credit card,1
4244,i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy,told asian considerate whenever person feeling well would common courtesy wear mask reduce risk spreading people around u,0
4245,i feel completely agitated,anger,feel completely agitated,1
4246,i just remember feeling so much pain and being confused and scared and convinced that i could not do this,fear,remember feeling much pain confused scared convinced could,1
4247,i am feeling like painting tonight and simply being creative,joy,feeling like painting tonight simply creative,0
4248,i never feel like i have it perfect sometimes i lean a little too heavy on the work which means more chaos at home and sometimes i lean a little too heavy on the home which means i get a little lonely and cranky,joy,never feel like perfect sometimes lean little heavy work mean chaos home sometimes lean little heavy home mean get little lonely cranky,0
4249,i feel resigned right now,sadness,feel resigned right,1
4250,i feel somewhat relieved but disappointed that of the two qualified venue i had questioned neither bothered to make the observations we did,joy,feel somewhat relieved disappointed two qualified venue questioned neither bothered make observation,0
4251,i felt fine when we got there but after a short while i started feeling really funny,surprise,felt fine got short started feeling really funny,0
4252,i feel like a bit of a turd that my body instantly rejected the lemonade,sadness,feel like bit turd body instantly rejected lemonade,1
4253,i find myself feeling surprised and totally unworthy whenever i see her face,surprise,find feeling surprised totally unworthy whenever see face,0
4254,i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss,love,feel dont talk friend loyal free dont want stay like want bliss,0
4255,i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me,love,want warn im feeling rather delicate moment dont expect much,0
4256,i will be thinking of each one of you i will be happy toast and feel my sincere huge magical group hug link rel stylesheet type text css href http jdelivery,joy,thinking one happy toast feel sincere huge magical group hug link rel stylesheet type text c href http jdelivery,0
4257,i realised how sick i was of working and feeling and being alone,sadness,realised sick working feeling alone,1
4258,i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear,think chief ccw yanked state feel threatened,1
4259,i start to feel ugly unloved poor and unhappy,sadness,start feel ugly unloved poor unhappy,1
4260,i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me,surprise,feel mommy amp friend friendship grew naturally strength surprised,0
4261,i have always wanted ice cream when i feel lousy,sadness,always wanted ice cream feel lousy,1
4262,i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel gotten know student pretty well talk parent drop student day,0
4263,i am feeling quite overwhelmed,surprise,feeling quite overwhelmed,0
4264,i can feel the strokes getting harder and faster as i try in vain to find that release,sadness,feel stroke getting harder faster try vain find release,1
4265,i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love,looking forward getting baptized maybe feel devoted broken front lord,0
4266,ill be whingeing about how much i ache but at least i can feel slightly virtuous about it too,joy,ill whingeing much ache least feel slightly virtuous,0
4267,i can begin to process the emotions i am also feeling from a pregnancy which would have been welcomed if it had been under different physical conditions but these thoughts are for my next blog,joy,begin process emotion also feeling pregnancy would welcomed different physical condition thought next blog,0
4268,i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage,joy,feel relaxed airport time occasionally occur luggage especially exceptional luggage,0
4269,i don t feel superior to people who have made different choices or threatened by them,joy,feel superior people made different choice threatened,0
4270,i feel i am not that sociable enough thus for friends wise i guess i do not miss most of them,joy,feel sociable enough thus friend wise guess miss,0
4271,i have a feeling i may be popular with the lady folk,joy,feeling may popular lady folk,0
4272,i have no idea why am i feeling so aching when i am just thinking about it and the day have not come yet,sadness,idea feeling aching thinking day come yet,1
4273,i feel that im in your heart and you know im worry and caring about you wherever you go unless im following you beside p i really like it when baby text me in sometime that i never thought u will,love,feel im heart know im worry caring wherever go unless im following beside p really like baby text sometime never thought u,0
4274,i will feel triumphant,joy,feel triumphant,0
4275,i feel like your child is worthless even though they passed the assessments better than anyone who applied with a college education,sadness,feel like child worthless even though passed assessment better anyone applied college education,1
4276,i care very little about impressing people unless its a person who i feel deserves being impressed,surprise,care little impressing people unless person feel deserves impressed,0
4277,i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings,fear,large parcel time feeling reluctant write set kitchen timer minute write bell ring,1
4278,i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,looked around disappointed little shown evening apparently day feel selfish,1
4279,i feel like i am doomed for the rest of my life,sadness,feel like doomed rest life,1
4280,i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,joy,feel learning purpose working universe continue evolve transcend productive along journey,0
4281,i have been so busy i feel like i have free time at home,joy,busy feel like free time home,0
4282,i am made to feel useless,sadness,made feel useless,1
4283,i feel to you or dad because dad is pissed about the dishes and will in turn belittle the way i feel to simply me being a spoiled little bitch who doesn t do jack around the house,anger,feel dad dad pissed dish turn belittle way feel simply spoiled little bitch jack around house,1
4284,i like to do it makes me feel very out of control and since i went through a stage of not caring about my diabetes and not checking my levels i don t really want to feel like that again,love,like make feel control since went stage caring diabetes checking level really want feel like,0
4285,i feel unhappy it is no help for me that other persons say that i am happy how much truth there may be in it,sadness,feel unhappy help person say happy much truth may,1
4286,i feel so numb that i wonder whether im still human,sadness,feel numb wonder whether im still human,1
4287,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear,feel like someone strange uncle trying break ice party showing amazing talent thinking guest impressed turn made everything hundred time awkward,1
4288,i feel like it s going to be something shockingly amazing,joy,feel like going something shockingly amazing,0
4289,i read her novels to make me feel relaxed,joy,read novel make feel relaxed,0
4290,i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,anger,feel like shes distracted come year old brother wait hand foot,1
4291,i feel reluctant to share because my experiences feel incomplete especially now that my ideas are making a shift,fear,feel reluctant share experience feel incomplete especially idea making shift,1
4292,i feel totally exhausted and over tired,sadness,feel totally exhausted tired,1
4293,i want to stop feeling so worthless,sadness,want stop feeling worthless,1
4294,i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,sadness,hope telling ill find got place time feel lost alone,1
4295,i feel a bit more loving energy inside connecting with you,love,feel bit loving energy inside connecting,0
4296,im feeling a little bit melancholy tonight,sadness,im feeling little bit melancholy tonight,1
4297,i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like must popular choice alteration done elsewhere,0
4298,im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat,fear,im feeling really shaken today stomach hurt ibleeditout ran friend kodi complete brat,1
4299,i feel for the natives who welcomed me and others with open arms and hearts back then and wonder how they cope,joy,feel native welcomed others open arm heart back wonder cope,0
4300,i feel as if she isnt faithful but i dont have a reason to should approach her or just wait until i have a reason to approach her,joy,feel isnt faithful dont reason approach wait reason approach,0
4301,i feel so horrible that you had to go through all that just because you grew up a little earlier than your friends,sadness,feel horrible go grew little earlier friend,1
4302,i feel so useless to her because the help i want to give her is the kind she doesnt believe in and doesnt want,sadness,feel useless help want give kind doesnt believe doesnt want,1
4303,i feel so jakun that amused me for whole minutes,joy,feel jakun amused whole minute,0
4304,i am feeling less than glam at the moment to be reminded of our lovely nuptials last summer,love,feeling le glam moment reminded lovely nuptials last summer,0
4305,i feel in my heart and how much im hurt,sadness,feel heart much im hurt,1
4306,i feel like life is too good to be true,joy,feel like life good true,0
4307,i would take days that i would feel low tuck them away and ignore it rather than sitting in it like i had learned to do in the past to get through these moments,sadness,would take day would feel low tuck away ignore rather sitting like learned past get moment,1
4308,i hate struggling to enjoy life but at the same time i feel guilty when i do,sadness,hate struggling enjoy life time feel guilty,1
4309,i used feel frustrated all the time,anger,used feel frustrated time,1
4310,i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear,knew needed get dragging foot combo feeling intimidated language barrier kid nap schedule,1
4311,i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,sadness,feeling beaten life yesterday see love schizofrenic man kick house boisterous fight,1
4312,i was feeling very overwhelmed about what i was going to do about removing things from the house i am selling in maryland,fear,feeling overwhelmed going removing thing house selling maryland,1
4313,i began to feel less anxious,fear,began feel le anxious,1
4314,i feel some super shifting some super circles,joy,feel super shifting super circle,0
4315,i started feeling reluctant to go because i wanted to spend some time with my family before i left,fear,started feeling reluctant go wanted spend time family left,1
4316,i feel so unimportant which im probably am,sadness,feel unimportant im probably,1
4317,i need to remember something feel like it and not be distracted simultaneously before it happens,anger,need remember something feel like distracted simultaneously happens,1
4318,i feel that we are often at the forefront of what soon becomes popular,joy,feel often forefront soon becomes popular,0
4319,im still feeling quite lively,joy,im still feeling quite lively,0
4320,i quite like to do it standing on public transport or busy places when you often feel your space being invaded which can make you feel stressed,sadness,quite like standing public transport busy place often feel space invaded make feel stressed,1
4321,i could feel safe enough doing so,joy,could feel safe enough,0
4322,i wake up feeling triumphant,joy,wake feeling triumphant,0
4323,i feel very apprehensive,fear,feel apprehensive,1
4324,i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger,feel hostile kinship mounting nausea know back mean binding,1
4325,i feel like im being punished if i have to sit facing the wall,sadness,feel like im punished sit facing wall,1
4326,i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger,feel grouchy football fan woken customary sunday siesta,1
4327,i feel blessed to see darn good talent right here,love,feel blessed see darn good talent right,0
4328,i am starting to feel a bit disheartened with my progress on my physical tbr there are still boxes of books next to my bed and they are not going away as fast as i want them to,sadness,starting feel bit disheartened progress physical tbr still box book next bed going away fast want,1
4329,im not always able capture the essence of the way i see the world in writing i feel that my weird way of thinking has been generally consistent throughout my short years,fear,im always able capture essence way see world writing feel weird way thinking generally consistent throughout short year,1
4330,i feel so uptight around my family,fear,feel uptight around family,1
4331,ive been feeling very intimidated and overwhelmed by the workload this semester and so ive just been avoiding doing what i need to,fear,ive feeling intimidated overwhelmed workload semester ive avoiding need,1
4332,i have noticed improvement is in the gabapentin and last nights dose of zonisamide which left me feeling very relaxed,joy,noticed improvement gabapentin last night dose zonisamide left feeling relaxed,0
4333,i feel especially passionate about,love,feel especially passionate,0
4334,i am worried that you might feel pressured or obligated that wasnt my intention and i am sensitive to your situation,fear,worried might feel pressured obligated wasnt intention sensitive situation,1
4335,i just feel too stubborn to give up on a dream,anger,feel stubborn give dream,1
4336,i started to feel super emotional all the time which was so strange,joy,started feel super emotional time strange,0
4337,i feel the need to be distracted,anger,feel need distracted,1
4338,im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,joy,im supposed stay lively room explorer feel lively room simply enuff offer decided move stair bedroom baffroom,0
4339,ive been at home for almost a week now from the hospital though and i feel the need to divulge info to devoted readers who have felt starved for my stylings,love,ive home almost week hospital though feel need divulge info devoted reader felt starved stylings,0
4340,i woke up at around am or am the next day crunched at the bed because i was feeling a terrible headache so painful i was awaken from my sleep,sadness,woke around next day crunched bed feeling terrible headache painful awaken sleep,1
4341,i feel amused and kind of tired still in the morning i,joy,feel amused kind tired still morning,0
4342,i don t understand why musicians sometimes feel inhibited,fear,understand musician sometimes feel inhibited,1
4343,i feel shy of my broken english,fear,feel shy broken english,1
4344,i forgot to take it yesterday so this morning i took two i feel super sick now,joy,forgot take yesterday morning took two feel super sick,0
4345,i really loved the day which made me feel such gratitude that we were having such a wonderful day which made me feel very happy,joy,really loved day made feel gratitude wonderful day made feel happy,0
4346,i feel so regretful not going but,sadness,feel regretful going,1
4347,i would feel the speech is successful if its very uplifting and gives props to the graduating class,joy,would feel speech successful uplifting give prop graduating class,0
4348,i feel super glued to my bed,joy,feel super glued bed,0
4349,i have a bunch of ideas but at the same time i feel intimidated because i am just a freshman and apparently know nothing about anything,fear,bunch idea time feel intimidated freshman apparently know nothing anything,1
4350,i feel irritated and helpless,anger,feel irritated helpless,1
4351,i walked away from them feeling discouraged about how technology seems to have replaced relationships in so many ways lately and what did i do,sadness,walked away feeling discouraged technology seems replaced relationship many way lately,1
4352,i could feel this way but i honestly believe that he was and is a very violent and dangerous man,anger,could feel way honestly believe violent dangerous man,1
4353,i am feeling a bit unsure about some of these im going to give it a try anyway,fear,feeling bit unsure im going give try anyway,1
4354,i was feeling productive,joy,feeling productive,0
4355,i mean think about how that would feel that would be stupid embarrassing,sadness,mean think would feel would stupid embarrassing,1
4356,im excited and i feel like this is a project that i can be passionate about and totally immerse myself in,love,im excited feel like project passionate totally immerse,0
4357,i experienced that feeling that people get when they are charmed or attracted to someone and that time was enough and a blessing in itself for me,joy,experienced feeling people get charmed attracted someone time enough blessing,0
4358,ive definitely been feeling low this past week because ive been sick ever since bfd but im determined to get my health back,sadness,ive definitely feeling low past week ive sick ever since bfd im determined get health back,1
4359,i cant seem to command it a feeling im sure anyone can relate to,joy,cant seem command feeling im sure anyone relate,0
4360,im strictly on coke and jo still feeling a tad delicate after last nights bucket of doom anaesthetic,love,im strictly coke jo still feeling tad delicate last night bucket doom anaesthetic,0
4361,i walked away feeling a little dismayed but ive got a mission to carry out now,sadness,walked away feeling little dismayed ive got mission carry,1
4362,i am feeling terrific at the moment,joy,feeling terrific moment,0
4363,i feel i must apologise as i was a little giggly tonight and received a raised eyebrow from a sensible member of the youth orchestra,joy,feel must apologise little giggly tonight received raised eyebrow sensible member youth orchestra,0
4364,im feeling more stressed,sadness,im feeling stressed,1
4365,i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger,feel hated useless sometimes even ask havent killed yet,1
4366,i want to feel affectionate,love,want feel affectionate,0
4367,i am feeling a little adventurous so i will try to see if we can spook our pretty lady,joy,feeling little adventurous try see spook pretty lady,0
4368,when they changed my office to another room without my agreement,anger,changed office another room without agreement,1
4369,i feel sorry for the rest of us in second life who understand that without more support for first time users our world will continue on its slow death spiral,sadness,feel sorry rest u second life understand without support first time user world continue slow death spiral,1
4370,i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy,feel amused different debate going hand felt something missing,0
4371,i really think each and every person can begin to sympathise with bernards character on which ever level this might be just because its part of being human to experience self doubt and feel worthless and ultimately unnecessary without purpose,sadness,really think every person begin sympathise bernard character ever level might part human experience self doubt feel worthless ultimately unnecessary without purpose,1
4372,i feel honored that you accept my invitation,joy,feel honored accept invitation,0
4373,i feel like i am in ludicrous speed,sadness,feel like ludicrous speed,1
4374,i often feel the need to defend just about anything even in casual conversation like blue s from the color code are usually christmas fanatics and i jump in and,joy,often feel need defend anything even casual conversation like blue color code usually christmas fanatic jump,0
4375,i forgot to feel sentimental about my line being pulled,sadness,forgot feel sentimental line pulled,1
4376,i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,surprise,love sunshine havent much feeling shoulder walk around yard amazing,0
4377,i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,anger,prayed love people feeling bitter towards would find best,1
4378,i feel so pretty and glamorous,joy,feel pretty glamorous,0
4379,i asked feeling smug,joy,asked feeling smug,0
4380,ive ever worked on and i feel very privileged to work with such an amazing team,joy,ive ever worked feel privileged work amazing team,0
4381,i feel i am beyond pissed off disappointed frustrated with myself,anger,feel beyond pissed disappointed frustrated,1
4382,i feel left alone,sadness,feel left alone,1
4383,i ain t shot a bitch since this morning so i m feelin a little gun horny,love,shot bitch since morning feelin little gun horny,0
4384,i feel lonely i remember my moms saying,sadness,feel lonely remember mom saying,1
4385,i didnt cry but i was starting to feel neurotic so my sister who was amazingly chill that morning brought me an ativan,fear,didnt cry starting feel neurotic sister amazingly chill morning brought ativan,1
4386,i can t make myself feel joyful but i can focus on the positive,joy,make feel joyful focus positive,0
4387,i do feel a little needy,sadness,feel little needy,1
